repeat,condition,n_valid,accuracy,macro_f1,auc_roc
1,A,50,0.44,0.3923611111111111,0.4064
1,B,50,0.44,0.43181818181818177,0.3816
1,C,50,0.6,0.5659722222222222,0.5728
1,D,50,0.44,0.4391025641025641,0.528
2,A,50,0.36,0.2647058823529412,0.344
2,B,49,0.5306122448979592,0.517757809157039,0.415
2,C,50,0.58,0.5495495495495496,0.6112
2,D,48,0.6666666666666666,0.6660869565217391,0.6060869565217392
3,A,50,0.46,0.4065934065934066,0.4536
3,B,50,0.42,0.4005787515502274,0.4352
3,C,50,0.62,0.5924495924495925,0.4992
3,D,50,0.56,0.5592948717948718,0.596
4,A,50,0.42,0.34418815015829946,0.4448
4,B,49,0.4489795918367347,0.4405919661733615,0.3958333333333333
4,C,50,0.62,0.5924495924495925,0.5864
4,D,50,0.52,0.5169082125603865,0.5824
5,A,50,0.4,0.31066176470588236,0.4032
5,B,50,0.5,0.4505494505494506,0.4296
5,C,50,0.62,0.5824175824175825,0.6352
5,D,49,0.5306122448979592,0.5306122448979592,0.6533333333333333
